time,rol4,role1,role10,role11,role12,role2,role3,role5,role6,role7,role8,role9
-24,0,0,0,0,0,0,0,0,0,0,0,0
-23,0,0,0,0,0,0,0,0,0,0,0,0
-22,0,0,0,0,0,0,0,0,0,0,0,0
-21,0,0,0,0,0,0,0,0,0,0,0,0
-20,0,0,0,0,0,0,0,0,0,0,0,0
-19,0,0,0,0,0,0,0,0,0,0,0,0
-18,0,0,0,0,0,0,0,0,0,0,0,0
-17,0,0,0,0,0,0,0,0,0,0,0,0
-16,0,0,0,0,0,0,0,0,0,0,0,0
-15,0,0,0,0,0,0,0,0,0,0,0,0
-14,0,0,0,0,0,0,0,0,0,0,0,0
-13,0,0,0,0,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,0,0,0,0,0,0
-11,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0,0,0,0,0
-7,0,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0,0
-5,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,0,0,0
2,2,2,0,0,0,2,3,0,0,0,0,0
3,4,3,0,0,0,4,5,0,0,0,0,0
4,7,5,0,0,0,7,8,0,0,0,0,0
5,10,8,0,0,0,10,12,0,0,0,0,0
6,15,12,0,0,0,15,18,0,0,0,0,0
7,21,16,0,0,0,21,25,0,0,0,0,0
8,27,22,0,0,0,27,32,0,0,0,0,0
9,34,27,0,0,0,34,40,0,0,0,0,0
10,40,32,0,0,0,40,48,0,0,0,0,0
11,46,37,0,0,0,46,55,0,0,0,0,0
12,51,40,0,0,0,51,61,0,1,1,1,0
13,54,43,0,0,0,54,64,1,1,2,2,0
14,55,44,0,0,0,55,66,2,2,4,4,0
15,56,44,0,0,0,56,67,3,4,8,6,0
16,55,44,0,0,0,55,65,5,6,13,11,0
17,53,42,0,0,0,53,63,8,10,20,16,0
18,50,40,0,0,0,50,60,11,14,28,24,0
19,47,38,0,0,0,47,57,15,19,38,32,0
20,44,35,0,0,0,44,53,20,25,49,41,0
21,41,33,0,1,0,41,49,24,30,59,50,0
22,37,30,0,1,1,37,45,27,34,68,57,0
23,34,27,1,1,1,34,41,30,38,75,63,0
24,31,25,1,1,1,31,37,32,40,79,66,1
25,28,22,1,2,2,28,33,32,40,81,68,1
26,25,20,1,3,2,25,30,32,40,80,67,1
27,22,18,2,4,3,22,26,31,39,78,65,1
28,19,15,2,5,4,19,23,30,37,74,62,2
29,17,13,3,6,5,17,20,28,35,70,58,2
30,15,12,4,8,7,15,17,26,32,65,54,3
31,13,10,5,11,9,13,15,24,30,60,50,4
32,11,9,7,14,12,11,13,22,27,54,45,6
33,9,7,9,18,15,9,11,20,24,49,41,7
34,8,6,11,22,19,8,9,17,22,44,36,9
35,6,5,14,28,23,6,8,16,19,39,32,11
36,5,4,17,34,28,5,6,14,17,34,28,14
37,4,4,20,40,34,4,5,12,15,30,25,16
38,4,3,24,47,39,4,4,10,13,26,21,19
39,3,2,27,54,45,3,4,9,11,22,18,21
40,2,2,30,60,50,2,3,8,9,19,16,24
41,2,2,33,66,55,2,2,6,8,16,13,26
42,2,1,35,71,59,2,2,5,7,13,11,28
43,1,1,37,75,62,1,1,4,6,11,9,30
44,1,1,39,78,65,1,1,4,5,9,8,31
45,1,1,40,81,67,1,1,3,4,7,6,32
46,1,0,42,83,69,1,1,2,3,6,5,33
47,0,0,42,85,71,0,1,2,2,5,4,34
48,0,0,43,86,72,0,0,2,2,4,3,34
49,0,0,44,87,73,0,0,1,2,3,3,35
50,0,0,44,88,73,0,0,1,1,2,2,35
51,0,0,44,88,74,0,0,1,1,2,2,35
52,0,0,44,89,74,0,0,1,1,1,1,36
53,0,0,45,89,74,0,0,0,1,1,1,36
54,0,0,45,89,74,0,0,0,0,1,1,36
55,0,0,45,90,75,0,0,0,0,1,1,36
56,0,0,45,90,75,0,0,0,0,0,0,36
57,0,0,45,90,75,0,0,0,0,0,0,36
58,0,0,45,90,75,0,0,0,0,0,0,36
59,0,0,45,90,75,0,0,0,0,0,0,36
60,0,0,45,90,75,0,0,0,0,0,0,36
61,0,0,45,90,75,0,0,0,0,0,0,36
62,0,0,45,90,75,0,0,0,0,0,0,36
63,0,0,45,90,75,0,0,0,0,0,0,36
64,0,0,45,90,75,0,0,0,0,0,0,36
65,0,0,45,90,75,0,0,0,0,0,0,36
66,0,0,45,90,75,0,0,0,0,0,0,36
67,0,0,45,90,75,0,0,0,0,0,0,36
68,0,0,45,90,75,0,0,0,0,0,0,36
69,0,0,45,90,75,0,0,0,0,0,0,36
70,0,0,45,90,75,0,0,0,0,0,0,36
71,0,0,45,90,75,0,0,0,0,0,0,36
72,0,0,45,90,75,0,0,0,0,0,0,36
