time,discipline,value
-12,Role13_L12,0
-12,Role13_L34,0
-12,Role13_L56,0
-12,Role13_L78,0
-12,Role14_L12,0
-12,Role14_L34,0
-12,Role14_L56,0
-12,Role14_L78,0
-12,Role15_L12,0
-12,Role15_L34,0
-12,Role15_L56,0
-12,Role15_L78,0
-11,Role13_L12,0
-11,Role13_L34,0
-11,Role13_L56,0
-11,Role13_L78,0
-11,Role14_L12,0
-11,Role14_L34,0
-11,Role14_L56,0
-11,Role14_L78,0
-11,Role15_L12,0
-11,Role15_L34,0
-11,Role15_L56,0
-11,Role15_L78,0
-10,Role13_L12,0
-10,Role13_L34,0
-10,Role13_L56,0
-10,Role13_L78,0
-10,Role14_L12,0
-10,Role14_L34,0
-10,Role14_L56,0
-10,Role14_L78,0
-10,Role15_L12,0
-10,Role15_L34,0
-10,Role15_L56,0
-10,Role15_L78,0
-9,Role13_L12,0
-9,Role13_L34,0
-9,Role13_L56,0
-9,Role13_L78,0
-9,Role14_L12,0
-9,Role14_L34,0
-9,Role14_L56,0
-9,Role14_L78,0
-9,Role15_L12,0
-9,Role15_L34,0
-9,Role15_L56,0
-9,Role15_L78,0
-8,Role13_L12,0
-8,Role13_L34,0
-8,Role13_L56,0
-8,Role13_L78,0
-8,Role14_L12,0
-8,Role14_L34,1
-8,Role14_L56,0
-8,Role14_L78,0
-8,Role15_L12,0
-8,Role15_L34,1
-8,Role15_L56,0
-8,Role15_L78,0
-7,Role13_L12,1
-7,Role13_L34,1
-7,Role13_L56,1
-7,Role13_L78,0
-7,Role14_L12,1
-7,Role14_L34,2
-7,Role14_L56,1
-7,Role14_L78,0
-7,Role15_L12,1
-7,Role15_L34,2
-7,Role15_L56,1
-7,Role15_L78,0
-6,Role13_L12,2
-6,Role13_L34,4
-6,Role13_L56,2
-6,Role13_L78,1
-6,Role14_L12,3
-6,Role14_L34,5
-6,Role14_L56,2
-6,Role14_L78,1
-6,Role15_L12,3
-6,Role15_L34,6
-6,Role15_L56,3
-6,Role15_L78,1
-5,Role13_L12,7
-5,Role13_L34,12
-5,Role13_L56,5
-5,Role13_L78,3
-5,Role14_L12,8
-5,Role14_L34,15
-5,Role14_L56,7
-5,Role14_L78,3
-5,Role15_L12,10
-5,Role15_L34,18
-5,Role15_L56,8
-5,Role15_L78,4
-4,Role13_L12,19
-4,Role13_L34,34
-4,Role13_L56,15
-4,Role13_L78,8
-4,Role14_L12,23
-4,Role14_L34,42
-4,Role14_L56,19
-4,Role14_L78,9
-4,Role15_L12,28
-4,Role15_L34,51
-4,Role15_L56,23
-4,Role15_L78,11
-3,Role13_L12,44
-3,Role13_L34,79
-3,Role13_L56,35
-3,Role13_L78,17
-3,Role14_L12,55
-3,Role14_L34,98
-3,Role14_L56,44
-3,Role14_L78,22
-3,Role15_L12,65
-3,Role15_L34,118
-3,Role15_L56,52
-3,Role15_L78,26
-2,Role13_L12,75
-2,Role13_L34,135
-2,Role13_L56,60
-2,Role13_L78,30
-2,Role14_L12,94
-2,Role14_L34,169
-2,Role14_L56,75
-2,Role14_L78,38
-2,Role15_L12,113
-2,Role15_L34,203
-2,Role15_L56,90
-2,Role15_L78,45
-1,Role13_L12,97
-1,Role13_L34,175
-1,Role13_L56,78
-1,Role13_L78,39
-1,Role14_L12,121
-1,Role14_L34,219
-1,Role14_L56,97
-1,Role14_L78,49
-1,Role15_L12,146
-1,Role15_L34,262
-1,Role15_L56,117
-1,Role15_L78,58
0,Role13_L12,107
0,Role13_L34,193
0,Role13_L56,86
0,Role13_L78,43
0,Role14_L12,134
0,Role14_L34,241
0,Role14_L56,107
0,Role14_L78,54
0,Role15_L12,161
0,Role15_L34,289
0,Role15_L56,129
0,Role15_L78,64
1,Role13_L12,111
1,Role13_L34,199
1,Role13_L56,89
1,Role13_L78,44
1,Role14_L12,138
1,Role14_L34,249
1,Role14_L56,111
1,Role14_L78,55
1,Role15_L12,166
1,Role15_L34,299
1,Role15_L56,133
1,Role15_L78,66
2,Role13_L12,112
2,Role13_L34,202
2,Role13_L56,90
2,Role13_L78,45
2,Role14_L12,140
2,Role14_L34,252
2,Role14_L56,112
2,Role14_L78,56
2,Role15_L12,168
2,Role15_L34,302
2,Role15_L56,134
2,Role15_L78,67
3,Role13_L12,112
3,Role13_L34,202
3,Role13_L56,90
3,Role13_L78,45
3,Role14_L12,140
3,Role14_L34,253
3,Role14_L56,112
3,Role14_L78,56
3,Role15_L12,169
3,Role15_L34,303
3,Role15_L56,135
3,Role15_L78,67
4,Role13_L12,112
4,Role13_L34,202
4,Role13_L56,90
4,Role13_L78,45
4,Role14_L12,141
4,Role14_L34,253
4,Role14_L56,112
4,Role14_L78,56
4,Role15_L12,169
4,Role15_L34,304
4,Role15_L56,135
4,Role15_L78,67
5,Role13_L12,113
5,Role13_L34,203
5,Role13_L56,90
5,Role13_L78,45
5,Role14_L12,141
5,Role14_L34,253
5,Role14_L56,113
5,Role14_L78,56
5,Role15_L12,169
5,Role15_L34,304
5,Role15_L56,135
5,Role15_L78,68
6,Role13_L12,113
6,Role13_L34,203
6,Role13_L56,90
6,Role13_L78,45
6,Role14_L12,141
6,Role14_L34,253
6,Role14_L56,113
6,Role14_L78,56
6,Role15_L12,169
6,Role15_L34,304
6,Role15_L56,135
6,Role15_L78,68
7,Role13_L12,113
7,Role13_L34,203
7,Role13_L56,90
7,Role13_L78,45
7,Role14_L12,141
7,Role14_L34,253
7,Role14_L56,113
7,Role14_L78,56
7,Role15_L12,169
7,Role15_L34,304
7,Role15_L56,135
7,Role15_L78,68
8,Role13_L12,113
8,Role13_L34,203
8,Role13_L56,90
8,Role13_L78,45
8,Role14_L12,141
8,Role14_L34,253
8,Role14_L56,113
8,Role14_L78,56
8,Role15_L12,169
8,Role15_L34,304
8,Role15_L56,135
8,Role15_L78,68
9,Role13_L12,113
9,Role13_L34,203
9,Role13_L56,90
9,Role13_L78,45
9,Role14_L12,141
9,Role14_L34,253
9,Role14_L56,113
9,Role14_L78,56
9,Role15_L12,169
9,Role15_L34,304
9,Role15_L56,135
9,Role15_L78,68
10,Role13_L12,113
10,Role13_L34,203
10,Role13_L56,90
10,Role13_L78,45
10,Role14_L12,141
10,Role14_L34,253
10,Role14_L56,113
10,Role14_L78,56
10,Role15_L12,169
10,Role15_L34,304
10,Role15_L56,135
10,Role15_L78,68
11,Role13_L12,113
11,Role13_L34,203
11,Role13_L56,90
11,Role13_L78,45
11,Role14_L12,141
11,Role14_L34,253
11,Role14_L56,113
11,Role14_L78,56
11,Role15_L12,169
11,Role15_L34,304
11,Role15_L56,135
11,Role15_L78,68
12,Role13_L12,113
12,Role13_L34,203
12,Role13_L56,90
12,Role13_L78,45
12,Role14_L12,141
12,Role14_L34,253
12,Role14_L56,113
12,Role14_L78,56
12,Role15_L12,169
12,Role15_L34,304
12,Role15_L56,135
12,Role15_L78,68
13,Role13_L12,113
13,Role13_L34,203
13,Role13_L56,90
13,Role13_L78,45
13,Role14_L12,141
13,Role14_L34,253
13,Role14_L56,113
13,Role14_L78,56
13,Role15_L12,169
13,Role15_L34,304
13,Role15_L56,135
13,Role15_L78,68
14,Role13_L12,113
14,Role13_L34,203
14,Role13_L56,90
14,Role13_L78,45
14,Role14_L12,141
14,Role14_L34,253
14,Role14_L56,113
14,Role14_L78,56
14,Role15_L12,169
14,Role15_L34,304
14,Role15_L56,135
14,Role15_L78,68
15,Role13_L12,113
15,Role13_L34,203
15,Role13_L56,90
15,Role13_L78,45
15,Role14_L12,141
15,Role14_L34,253
15,Role14_L56,113
15,Role14_L78,56
15,Role15_L12,169
15,Role15_L34,304
15,Role15_L56,135
15,Role15_L78,68
16,Role13_L12,113
16,Role13_L34,203
16,Role13_L56,90
16,Role13_L78,45
16,Role14_L12,141
16,Role14_L34,253
16,Role14_L56,113
16,Role14_L78,56
16,Role15_L12,169
16,Role15_L34,304
16,Role15_L56,135
16,Role15_L78,68
17,Role13_L12,113
17,Role13_L34,203
17,Role13_L56,90
17,Role13_L78,45
17,Role14_L12,141
17,Role14_L34,253
17,Role14_L56,113
17,Role14_L78,56
17,Role15_L12,169
17,Role15_L34,304
17,Role15_L56,135
17,Role15_L78,68
18,Role13_L12,113
18,Role13_L34,203
18,Role13_L56,90
18,Role13_L78,45
18,Role14_L12,141
18,Role14_L34,253
18,Role14_L56,113
18,Role14_L78,56
18,Role15_L12,169
18,Role15_L34,304
18,Role15_L56,135
18,Role15_L78,68
19,Role13_L12,113
19,Role13_L34,203
19,Role13_L56,90
19,Role13_L78,45
19,Role14_L12,141
19,Role14_L34,253
19,Role14_L56,113
19,Role14_L78,56
19,Role15_L12,169
19,Role15_L34,304
19,Role15_L56,135
19,Role15_L78,68
20,Role13_L12,113
20,Role13_L34,203
20,Role13_L56,90
20,Role13_L78,45
20,Role14_L12,141
20,Role14_L34,253
20,Role14_L56,113
20,Role14_L78,56
20,Role15_L12,169
20,Role15_L34,304
20,Role15_L56,135
20,Role15_L78,68
21,Role13_L12,113
21,Role13_L34,203
21,Role13_L56,90
21,Role13_L78,45
21,Role14_L12,141
21,Role14_L34,253
21,Role14_L56,113
21,Role14_L78,56
21,Role15_L12,169
21,Role15_L34,304
21,Role15_L56,135
21,Role15_L78,68
22,Role13_L12,113
22,Role13_L34,203
22,Role13_L56,90
22,Role13_L78,45
22,Role14_L12,141
22,Role14_L34,253
22,Role14_L56,113
22,Role14_L78,56
22,Role15_L12,169
22,Role15_L34,304
22,Role15_L56,135
22,Role15_L78,68
23,Role13_L12,113
23,Role13_L34,203
23,Role13_L56,90
23,Role13_L78,45
23,Role14_L12,141
23,Role14_L34,253
23,Role14_L56,113
23,Role14_L78,56
23,Role15_L12,169
23,Role15_L34,304
23,Role15_L56,135
23,Role15_L78,68
24,Role13_L12,113
24,Role13_L34,203
24,Role13_L56,90
24,Role13_L78,45
24,Role14_L12,141
24,Role14_L34,253
24,Role14_L56,113
24,Role14_L78,56
24,Role15_L12,169
24,Role15_L34,304
24,Role15_L56,135
24,Role15_L78,68
25,Role13_L12,113
25,Role13_L34,203
25,Role13_L56,90
25,Role13_L78,45
25,Role14_L12,141
25,Role14_L34,253
25,Role14_L56,113
25,Role14_L78,56
25,Role15_L12,169
25,Role15_L34,304
25,Role15_L56,135
25,Role15_L78,68
26,Role13_L12,113
26,Role13_L34,203
26,Role13_L56,90
26,Role13_L78,45
26,Role14_L12,141
26,Role14_L34,253
26,Role14_L56,113
26,Role14_L78,56
26,Role15_L12,169
26,Role15_L34,304
26,Role15_L56,135
26,Role15_L78,68
27,Role13_L12,113
27,Role13_L34,203
27,Role13_L56,90
27,Role13_L78,45
27,Role14_L12,141
27,Role14_L34,253
27,Role14_L56,113
27,Role14_L78,56
27,Role15_L12,169
27,Role15_L34,304
27,Role15_L56,135
27,Role15_L78,68
28,Role13_L12,113
28,Role13_L34,203
28,Role13_L56,90
28,Role13_L78,45
28,Role14_L12,141
28,Role14_L34,253
28,Role14_L56,113
28,Role14_L78,56
28,Role15_L12,169
28,Role15_L34,304
28,Role15_L56,135
28,Role15_L78,68
29,Role13_L12,113
29,Role13_L34,203
29,Role13_L56,90
29,Role13_L78,45
29,Role14_L12,141
29,Role14_L34,253
29,Role14_L56,113
29,Role14_L78,56
29,Role15_L12,169
29,Role15_L34,304
29,Role15_L56,135
29,Role15_L78,68
30,Role13_L12,113
30,Role13_L34,203
30,Role13_L56,90
30,Role13_L78,45
30,Role14_L12,141
30,Role14_L34,253
30,Role14_L56,113
30,Role14_L78,56
30,Role15_L12,169
30,Role15_L34,304
30,Role15_L56,135
30,Role15_L78,68
31,Role13_L12,113
31,Role13_L34,203
31,Role13_L56,90
31,Role13_L78,45
31,Role14_L12,141
31,Role14_L34,253
31,Role14_L56,113
31,Role14_L78,56
31,Role15_L12,169
31,Role15_L34,304
31,Role15_L56,135
31,Role15_L78,68
32,Role13_L12,113
32,Role13_L34,203
32,Role13_L56,90
32,Role13_L78,45
32,Role14_L12,141
32,Role14_L34,253
32,Role14_L56,113
32,Role14_L78,56
32,Role15_L12,169
32,Role15_L34,304
32,Role15_L56,135
32,Role15_L78,68
33,Role13_L12,113
33,Role13_L34,203
33,Role13_L56,90
33,Role13_L78,45
33,Role14_L12,141
33,Role14_L34,253
33,Role14_L56,113
33,Role14_L78,56
33,Role15_L12,169
33,Role15_L34,304
33,Role15_L56,135
33,Role15_L78,68
34,Role13_L12,113
34,Role13_L34,203
34,Role13_L56,90
34,Role13_L78,45
34,Role14_L12,141
34,Role14_L34,253
34,Role14_L56,113
34,Role14_L78,56
34,Role15_L12,169
34,Role15_L34,304
34,Role15_L56,135
34,Role15_L78,68
35,Role13_L12,113
35,Role13_L34,203
35,Role13_L56,90
35,Role13_L78,45
35,Role14_L12,141
35,Role14_L34,253
35,Role14_L56,113
35,Role14_L78,56
35,Role15_L12,169
35,Role15_L34,304
35,Role15_L56,135
35,Role15_L78,68
36,Role13_L12,113
36,Role13_L34,203
36,Role13_L56,90
36,Role13_L78,45
36,Role14_L12,141
36,Role14_L34,253
36,Role14_L56,113
36,Role14_L78,56
36,Role15_L12,169
36,Role15_L34,304
36,Role15_L56,135
36,Role15_L78,68
37,Role13_L12,113
